frame	x [nm]	y [nm]	z [nm]	uncertainty_xy	uncertainty_z
2	256.3456580389783	129.15026351028368	-524.8825408570177	2.1	2.1
2	244.27955915122035	114.38346707902315	-528.502733247692	2.1	2.1
2	245.02309624498926	121.8595308207498	-521.630071980098	2.1	2.1
2	240.33074683548352	120.66983307251644	-531.7468724163224	2.1	2.1
2	235.9891787662927	120.12632732416188	-535.6690029776387	2.1	2.1
2	241.40705782570973	116.01845083153889	-511.6716724669684	2.1	2.1
2	260.46919508679787	122.75504973341151	-526.8431937876782	2.1	2.1
2	230.437264947873	114.373151355332	-535.0472561891406	2.1	2.1
2	246.0622561887011	114.61756556926451	-535.065630094719	2.1	2.1
2	240.63250997199066	113.51656375189745	-513.3568978561829	2.1	2.1
2	240.5366479999054	112.20706538777996	-517.5835417762935	2.1	2.1
2	228.5626821639974	106.9658515767898	-527.0866897883046	2.1	2.1
2	240.32731017095986	108.78884826676564	-530.564434714224	2.1	2.1
2	249.1725315350236	116.58029567946016	-533.6143974073765	2.1	2.1
2	250.46309107865878	112.31436442270939	-525.9154875906423	2.1	2.1
2	234.9797586441731	102.82581592007575	-536.6229774324656	2.1	2.1
2	240.5974965719575	105.3649552542361	-520.2766070742055	2.1	2.1
2	243.4118514963968	105.80788808478508	-527.82067267832	2.1	2.1
2	236.20634479907474	106.29937097232761	-530.7826331464073	2.1	2.1
2	241.39244137136188	110.1975182720408	-522.2290305298711	2.1	2.1
2	236.57090985439837	105.83401861972392	-528.978413486475	2.1	2.1
2	249.97645279856889	102.3686052973719	-523.5111280189075	2.1	2.1
2	234.9614149143582	104.02338437580134	-534.6684223065464	2.1	2.1
2	230.59096361718645	103.42250077701296	-522.5193525765771	2.1	2.1
2	247.05986406426842	101.64521891056607	-523.7464925880354	2.1	2.1
2	241.6842114416908	108.9473933450525	-527.5138256910384	2.1	2.1
2	245.2860807147593	105.59927321675293	-524.9869312543493	2.1	2.1
2	241.33187617439418	107.52414215267137	-514.6171940748363	2.1	2.1
2	227.2881691891671	105.36940322610201	-520.9436539064648	2.1	2.1
2	243.4419230175059	105.49816838009124	-529.3070520669996	2.1	2.1
2	242.2829907747704	104.77956933481629	-529.9724283000716	2.1	2.1
2	229.4852518260971	90.41826141898076	-531.9435538187531	2.1	2.1
2	240.07121181020221	106.94809708150007	-537.6538062709943	2.1	2.1
2	230.85291275772943	87.73164162395848	-547.4744015146305	2.1	2.1
2	241.39309022497966	94.47987207102159	-535.9708343915689	2.1	2.1
2	240.21091390479233	89.02603356279467	-515.7360822217612	2.1	2.1
2	235.0460000478889	96.07679377476596	-536.3983669560962	2.1	2.1
2	237.2533969566577	86.75643486076437	-527.9851324858614	2.1	2.1
2	230.160338544531	99.03084590732009	-533.1780010464543	2.1	2.1
2	227.3880756449716	100.5138423431981	-537.680069965375	2.1	2.1
2	235.30101414022928	93.6705337823314	-524.4518755455971	2.1	2.1
2	238.68944879472278	91.49659983540622	-528.8388601405691	2.1	2.1
2	242.06779158732007	96.76353656618463	-525.0269501494168	2.1	2.1
2	238.5132159446175	90.00190810768592	-524.2481963330255	2.1	2.1
2	241.87615061261113	85.47910842864712	-522.3146178422143	2.1	2.1
2	235.80520149611618	82.6011641973587	-526.91198734419	2.1	2.1
2	235.45293382507825	93.63377048805526	-533.4338495085047	2.1	2.1
2	237.16379770716262	87.33412495425426	-525.9551701717266	2.1	2.1
2	235.37233484857984	93.96850279589441	-524.087280518313	2.1	2.1
2	235.28942197742862	87.21388984137242	-535.0365706047036	2.1	2.1
2	241.64344937668452	85.32466951908873	-541.5519712124255	2.1	2.1
2	236.69869470111342	93.97492073305898	-527.2246061002407	2.1	2.1
2	226.15910897019683	96.61386728360354	-519.9789357541041	2.1	2.1
2	222.72503500780414	91.77559884423349	-529.8087906705948	2.1	2.1
2	227.87811696432266	91.70505642214123	-526.3752678973344	2.1	2.1
2	233.185682064641	88.87512727440777	-545.7561200839865	2.1	2.1
2	241.92890082754704	72.17472590504916	-533.1875865678645	2.1	2.1
2	231.87333944615636	82.4113218367238	-530.5224399461113	2.1	2.1
2	234.5840250515022	77.9668831510241	-534.5684862361994	2.1	2.1
2	233.3235290612724	76.31033056988562	-527.9926470196568	2.1	2.1
2	240.6049971324414	95.67911016331107	-534.0629359315884	2.1	2.1
2	231.8660157028418	88.99081772488796	-532.8190794714267	2.1	2.1
2	230.11412305035003	81.55075193997293	-525.4610117884698	2.1	2.1
2	237.9981439945469	82.75735637115798	-524.7222101187645	2.1	2.1
2	226.58230869114462	76.2299404960646	-532.8391902274939	2.1	2.1
2	231.85830069989444	79.75958316058536	-533.0789613781054	2.1	2.1
2	236.98498968111213	83.85280856948641	-534.211994259903	2.1	2.1
2	241.41975235917542	84.8866854574127	-529.4400354317402	2.1	2.1
2	232.73766697034085	79.54334718524082	-542.3335727478316	2.1	2.1
2	240.32483354462184	68.12835613738518	-539.0049509303437	2.1	2.1
2	221.7088678661779	79.4097885260628	-531.4454137242287	2.1	2.1
2	231.37279672733237	75.52696301358156	-532.82695348575	2.1	2.1
2	220.09299796290028	78.53519046445093	-535.5638628227603	2.1	2.1
2	233.7631893586462	65.62056985081905	-527.5508886525645	2.1	2.1
2	222.60524010804505	67.35580702793874	-532.4478695139992	2.1	2.1
2	241.1887539813776	57.05664119580636	-534.6242072594812	2.1	2.1
2	230.0165439571659	83.69962002712127	-534.2426274864106	2.1	2.1
2	228.05944384679265	63.81297661544434	-530.4111777831866	2.1	2.1
2	239.53879205077249	74.99186142877589	-534.678378472772	2.1	2.1
2	233.73272882363904	62.77510897070894	-533.2778915588278	2.1	2.1
2	230.38146793054497	84.45483503517185	-530.8379551865077	2.1	2.1
2	221.98166163393844	71.86640761937191	-530.6157733268981	2.1	2.1
2	220.48588226813206	65.67239375969332	-534.8118197627151	2.1	2.1
2	236.0029354220503	63.97342921124176	-536.4238776168805	2.1	2.1
2	232.15844067370773	54.934802886480064	-538.0659118155386	2.1	2.1
2	232.66868310017506	68.80065004519989	-533.6229316231476	2.1	2.1
2	219.05353787060898	60.785737458333585	-528.1634383156694	2.1	2.1
2	221.52574042438587	71.01888061092646	-547.0859054391861	2.1	2.1
2	233.19088779799702	69.55410494686342	-533.3311853860602	2.1	2.1
2	224.13547389885997	54.26240836105269	-536.5992712892036	2.1	2.1
2	228.9491793958281	59.09788935302967	-533.871951785093	2.1	2.1
2	229.74001733425976	65.4087644173176	-541.6883570586419	2.1	2.1
2	221.38101431360815	70.90192658102738	-540.6941252705066	2.1	2.1
2	211.52179750642665	62.333006477586714	-527.2295141625857	2.1	2.1
2	219.43697757146288	58.71775103196812	-531.6380430696946	2.1	2.1
2	219.4265162577832	68.43119645490233	-529.9713313478518	2.1	2.1
2	231.71838459294895	75.23108442096176	-549.43231744893	2.1	2.1
2	232.96768267966308	58.323821892901734	-532.5318067291797	2.1	2.1
2	223.69992803646943	61.29462957976827	-531.0781733377632	2.1	2.1
2	229.35861167700122	57.335858203828536	-534.5721180531715	2.1	2.1
2	227.59444109241997	56.07085903667922	-534.2226152831929	2.1	2.1
2	237.5076161545621	73.0503192971008	-533.4594477353226	2.1	2.1
2	214.40234816150578	59.41257332222441	-532.720455569444	2.1	2.1
2	233.3053638639659	63.63960911205476	-534.335177380316	2.1	2.1
2	225.44011898660204	64.78762983521398	-535.9424124242375	2.1	2.1
2	230.90588633613442	64.53848629000062	-547.070605692056	2.1	2.1
2	234.9274395871632	38.54290887875601	-545.796958248865	2.1	2.1
2	225.07640410696814	66.31523618021174	-540.543486248374	2.1	2.1
2	219.69789197270592	46.279472577274824	-545.1420998791552	2.1	2.1
2	218.79423739141936	52.97513028000478	-537.9180713289355	2.1	2.1
2	285.14671216792567	125.88194623818251	-486.87804288126824	2.1	2.1
2	279.2106440763659	133.4223130851887	-464.95346452311145	2.1	2.1
2	270.85952058522275	124.3477496476574	-461.12735751422895	2.1	2.1
2	267.29176612673297	137.41292436118707	-480.8380383938002	2.1	2.1
2	274.9836511987456	150.36147343946087	-472.59542022604666	2.1	2.1
2	284.14214863337924	143.4260625565554	-468.47865216648273	2.1	2.1
2	270.96789186595544	131.8570371389867	-463.52701191201874	2.1	2.1
2	287.2040259707451	124.77381771600196	-472.0740090933916	2.1	2.1
2	271.3738679220511	130.55350423654872	-455.9751236459505	2.1	2.1
2	273.313046904192	136.3119829983408	-474.3093554736025	2.1	2.1
2	276.28851707926617	134.59871531927587	-474.97407623987766	2.1	2.1
2	258.163312467665	124.7407217295191	-466.1820243594636	2.1	2.1
2	278.0835034130907	134.74660463707505	-464.99753926739095	2.1	2.1
2	270.26672218638646	136.2859598434538	-480.277201952039	2.1	2.1
2	270.80253027537486	126.86006054228356	-471.11891957270865	2.1	2.1
2	273.5033304053177	134.15335102433755	-468.60224185301587	2.1	2.1
2	279.23009451737005	135.5952671885379	-470.29769172858033	2.1	2.1
2	266.85559313672525	127.32394391446428	-467.8829726596732	2.1	2.1
2	257.3390372828575	141.1041298536255	-482.8291246248921	2.1	2.1
2	266.2963506374981	123.74607046475857	-487.47950986223606	2.1	2.1
2	277.6592809996083	111.44655964609647	-468.26436822593064	2.1	2.1
2	277.7840959871716	130.9108366284592	-476.6349873708566	2.1	2.1
2	268.85616802340047	122.12829055267349	-475.88164736879844	2.1	2.1
2	255.79229616222418	128.23468889340143	-469.08412700641185	2.1	2.1
2	267.0893632638783	126.96075517408309	-487.16762248749745	2.1	2.1
2	286.0373990849404	144.3555711091021	-482.3406211588871	2.1	2.1
2	270.9714711927765	128.7563353106601	-472.6248793452025	2.1	2.1
2	266.7562758805661	120.35171071325915	-474.6199683590884	2.1	2.1
2	270.38731173711136	132.4933939764823	-474.16859017263783	2.1	2.1
2	274.8642940535027	121.68566474631255	-472.7634135504288	2.1	2.1
2	262.1121945601513	136.11842424221223	-486.2710429390622	2.1	2.1
2	261.50636470661624	137.68329280871268	-484.62232299022327	2.1	2.1
2	280.5962104329159	121.26362869438857	-481.0948593993095	2.1	2.1
2	255.290653023033	128.5857543396669	-486.9931095032694	2.1	2.1
2	269.7411229127381	130.77638898322843	-474.45335892947804	2.1	2.1
2	261.89125750062163	126.86975341810655	-497.7685383219318	2.1	2.1
2	262.12113881274485	117.59073729376952	-490.3731065498247	2.1	2.1
2	276.20854995125296	128.7286728410327	-495.0524126526232	2.1	2.1
2	268.3901904806228	130.39627789277864	-496.2211959669011	2.1	2.1
2	270.30280454567645	140.03259095886023	-502.71727970408966	2.1	2.1
2	264.5904643346626	128.9655981769172	-491.7945019812591	2.1	2.1
2	256.41988944263693	122.84427957843333	-494.25856719993794	2.1	2.1
2	270.5126887884079	119.75996460601114	-488.8686410025971	2.1	2.1
2	257.1717650289584	114.94194610430816	-483.6038917973402	2.1	2.1
2	258.62094197952723	122.03323226947984	-500.15975534103376	2.1	2.1
2	257.5193703132378	130.96276741532878	-481.22637291237425	2.1	2.1
2	262.55551476713856	124.46376478434874	-500.25671797367164	2.1	2.1
2	261.64778787963616	123.74862927202446	-500.98212881686067	2.1	2.1
2	257.98183435223024	118.80958411040145	-493.1746241262914	2.1	2.1
2	263.37804849010735	126.86249667728475	-505.84646310884943	2.1	2.1
2	260.4589362395231	127.921419817895	-494.4703857647328	2.1	2.1
2	259.4159823143215	137.00059780679968	-482.53078774727976	2.1	2.1
2	256.48212673425536	118.0831679617883	-497.73633069378775	2.1	2.1
2	250.79388382948278	124.18241764560416	-500.3934967408799	2.1	2.1
2	247.7935372482782	118.9490113917022	-503.9064958857584	2.1	2.1
2	260.59627781590467	131.1194725720492	-496.3668201895064	2.1	2.1
2	255.12995515220717	121.00222596264064	-496.4354281687185	2.1	2.1
2	255.66195047646247	133.5913554154013	-496.2179478268619	2.1	2.1
2	258.914971423011	127.18087350273265	-501.17633445947666	2.1	2.1
2	250.01044899763156	123.28089303330997	-499.29718218229965	2.1	2.1
2	247.61905367338252	134.7267260009222	-506.9155766824726	2.1	2.1
2	244.9178044353787	123.32420084794175	-506.4319064822228	2.1	2.1
2	275.8910979341142	122.94616009665081	-502.6917375991186	2.1	2.1
2	244.4943015704241	132.51609612675287	-489.83505050774403	2.1	2.1
2	249.1579540592194	123.39937356621795	-511.08880717365366	2.1	2.1
2	257.2264144890927	116.22053157515674	-511.7322271078452	2.1	2.1
2	257.7052087635366	120.14901015572029	-503.8478105987233	2.1	2.1
2	252.93024068086595	120.62586148881283	-498.21353699172056	2.1	2.1
2	257.44405014706496	117.50560615786645	-504.7576554473843	2.1	2.1
2	255.61790533445642	122.66334414346281	-491.6100082263361	2.1	2.1
2	255.3973728145072	122.79178958463235	-498.09884895963967	2.1	2.1
2	269.1200513524573	119.67604240493347	-507.72650158981344	2.1	2.1
2	248.85568255314973	119.286797846302	-502.4689159249281	2.1	2.1
2	258.7312170224849	124.37087518779806	-503.3801584949048	2.1	2.1
2	253.87459054637407	123.06268089951377	-510.0917867230633	2.1	2.1
2	249.45096949064947	122.85164146822943	-505.5195872447031	2.1	2.1
2	245.53035117283306	104.37044520930488	-509.21372596150445	2.1	2.1
2	258.76687007557587	124.61370997262819	-505.63948241479534	2.1	2.1
2	257.6037740706416	115.84004815164808	-516.5726330723603	2.1	2.1
2	252.28932277347735	113.71904956864658	-512.730856641847	2.1	2.1
2	228.03905789203685	118.49590502100313	-513.2032833165609	2.1	2.1
2	247.04533109247566	123.637918157665	-510.3096800035778	2.1	2.1
2	251.44975766929895	123.38365094238101	-515.7172819491219	2.1	2.1
2	246.7990471831036	130.74986496082894	-509.98764633484166	2.1	2.1
2	234.95375522919724	120.02395367319717	-513.6565107573731	2.1	2.1
2	248.41238337981451	132.61338609092954	-530.0234707552239	2.1	2.1
2	242.64026746082385	127.06638918134516	-510.4762738557387	2.1	2.1
2	253.66974601058538	117.65329795852787	-508.7680400778366	2.1	2.1
2	237.69138207664216	109.46330481742464	-525.4931274764575	2.1	2.1
2	238.98789036779743	123.52007423033227	-509.89818339475624	2.1	2.1
2	247.65661062139736	123.64619807228576	-513.4470604295483	2.1	2.1
2	244.32906113384195	124.67989270243984	-526.6593296192184	2.1	2.1
2	249.92126526289306	108.37532158202632	-519.8949332098465	2.1	2.1
2	248.98215467135043	118.72642584084339	-512.2733262500457	2.1	2.1
2	246.10807036182635	123.62479572196376	-516.5299367080775	2.1	2.1
2	250.5966369727549	127.7705837678014	-520.202137550557	2.1	2.1
2	243.40103829555403	119.50122086490465	-520.9183142493556	2.1	2.1
2	246.0331690184136	123.73312644481263	-514.3949386272775	2.1	2.1
2	236.32413272925206	120.46650215183189	-513.3083768333925	2.1	2.1
2	257.4874924064823	108.13703240374483	-528.5627084302938	2.1	2.1
2	224.70318875247392	47.242452047482885	-520.7204820732608	2.1	2.1
2	213.13442077818175	52.70420032906782	-536.2259296538588	2.1	2.1
2	215.76620452145931	67.58432691776872	-544.0688184428806	2.1	2.1
2	234.36683971816313	52.92813159764526	-534.5547551478057	2.1	2.1
2	238.50906395958256	46.89025826447251	-532.8096546999654	2.1	2.1
2	229.65967068662863	68.53580631381307	-538.3699110515811	2.1	2.1
2	225.26128445817406	51.831885061404364	-549.8740093086298	2.1	2.1
2	223.26904887503767	55.85725594768002	-531.397378647166	2.1	2.1
2	236.6453474638696	52.97142594480914	-528.3322225236282	2.1	2.1
2	224.57632760743215	53.91847756711112	-538.1851922932728	2.1	2.1
2	226.61479212392754	54.69251001333107	-548.4948740347855	2.1	2.1
2	224.27479428327456	45.20989446193989	-555.6860367960522	2.1	2.1
2	237.91449964939994	34.86479996221385	-541.1648523860147	2.1	2.1
